name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
Jim Kjelgaard,male,1910-12-06,United States of America,New York City
Jamie Delano,male,1954-01-01,United Kingdom,Northampton
Billie Letts,female,1938-05-30,United States of America,Tulsa
Boris Vian,male,1920-03-10,France,Avray
Meg Cabot,female,1967-02-01,United States of America,Bloomington
Jan Karon,female,1937-01-01,United States of America,Lenoir
Leslie Marmon Silko,female,1948-03-05,United States of America,Albuquerque
Linda Fairstein,female,1947-05-05,United States of America,Mount Vernon
Andrew Gross,male,1952-05-18,United States of America,Manhattan
Simms Taback,male,1932-02-13,United States of America,The Bronx
Ben Goldacre,male,1974-05-20,United Kingdom,London
Andrea Hirata,male,1967-10-24,Indonesia,Belitung
Erin Morgenstern,female,1978-07-08,United States of America,Marshfield
Khushwant Singh,male,"1915-02-02, 1915-08-15","British India, India, Dominion of India",Hadali
Eric Knight,male,1897-04-10,"United Kingdom, United States of America",Yorkshire
H. Rider Haggard,male,1856-06-22,United Kingdom of Great Britain and Ireland,Norfolk
Jonathan Swift,male,1667-11-30,Kingdom of Ireland,Dublin
Emma Donoghue,female,1969-10-24,"Canada, Ireland",Dublin
Victor J. Stenger,male,1935-01-29,United States of America,Bayonne
Lawrence Kasdan,male,1949-01-14,United States of America,Miami
Marcia Clark,female,1953-08-31,United States of America,Berkeley
Jacqueline Winspear,female,1955-04-30,United Kingdom,Kent
Percy Bysshe Shelley,male,1792-08-04,"United Kingdom of Great Britain and Ireland, Great Britain",Horsham
John Wyndham,male,1903-07-10,United Kingdom,Birmingham
Devdutt Pattanaik,male,1970-12-11,India,Mumbai
Ernst Kaiser,male,1911-10-03,Austria,Vienna
Becca Fitzpatrick,female,1979-02-03,United States of America,Centerville
Tavis Smiley,male,1964-09-13,United States of America,Gulfport
Tom Rob Smith,male,1979-02-19,United Kingdom,London
Peter Høeg,male,1957-05-17,Denmark,Copenhagen
Michel Foucault,male,1926-10-15,France,Poitiers
Booker T. Washington,male,1856-04-05,United States of America,s Ford
David Starkey,male,1945-01-03,United Kingdom,Kendal
Sam Kean,male,1953-01-01,United States of America,Sioux Falls
Craig Raine,male,1944-12-03,United Kingdom,Shildon
Thucydides,male,-0460-01-01,Classical Athens,
Katharine Graham,female,1917-06-16,United States of America,New York City
Isabel Allende,female,1942-08-02,"United States of America, Chile",Lima
Hans Christian Andersen,male,1805-04-02,Denmark,Odense
Tony Horwitz,male,1958-06-09,United States of America,
Billy Crystal,male,1948-03-14,United States of America,New York City
James Grauerholz,male,1953-12-14,United States of America,Coffeyville
Walter Isaacson,male,1952-05-20,United States of America,New Orleans
Adam Gidwitz,male,1982-02-14,United States of America,San Francisco
Maki Minami,female,1953-01-01,Japan,Saitama
Lance Armstrong,male,1971-09-18,United States of America,Plano
Margret Rey,female,1906-05-16,"Germany, United States of America",Hamburg
Claire Messud,female,1966-10-08,United States of America,Greenwich
Anya Seton,female,1904-01-23,United States of America,"Manhattan, New York City"
Benedict Freedman,male,1919-12-19,United States of America,New York City
Aimee Bender,female,1969-06-28,United States of America,United States of America
Joseph Kesselring,male,1902-07-21,United States of America,New York City
Edward Eager,male,1911-06-20,United States of America,Toledo
Jill Alexander Essbaum,female,1971-01-01,United States of America,Bay City
John Cheever,male,1912-05-27,United States of America,Quincy
Robert Fagles,male,1933-09-11,United States of America,Philadelphia
Milan Kundera,male,1929-04-01,"France, Czech Republic, Czechoslovakia",Brno
Paul Chadwick,male,1957-01-01,United States of America,Seattle
Frances Hodgson Burnett,female,1849-11-24,"United States of America, United Kingdom",Manchester
Daniel Hahn,male,1973-11-26,United Kingdom,London
Charles Darwin,male,1809-02-12,United Kingdom of Great Britain and Ireland,The Mount
Chuck Wendig,male,1976-04-22,United States of America,New Hope
Nevill Coghill,male,1899-04-19,Ireland,Castletownshend
Jonas Jonasson,male,"1961-07-06, 1971-07-06",Sweden,Växjö
Alexis de Tocqueville,male,1805-07-29,France,Paris
Martin Amis,male,"1949-08-25, 1949-08-00","United Kingdom, Wales",Swansea
Jesmyn Ward,female,1977-01-01,United States of America,Mississippi
Octavia E. Butler,female,1947-06-22,United States of America,Pasadena
Marian Keyes,female,1963-09-10,Ireland,Limerick
Miyamoto Musashi,male,1584-03-00,Japan,Harima Province
Ayşe Kulin,female,1941-08-26,Turkey,Istanbul
Dorothea Benton Frank,female,1951-09-12,United States of America,s Island
David Purdham,male,1951-06-03,United States of America,San Antonio
Wanda Gág,female,1893-03-11,United States of America,New Ulm
Jerry B. Jenkins,male,1949-09-23,United States of America,Kalamazoo
Sui Ishida,male,1986-12-28,Japan,Fukuoka Prefecture
Jonathan Tropper,male,1970-02-19,United States of America,Riverdale
Gary Keller,male,1944-06-13,United States of America,Elizabeth
Melody Beattie,female,1948-05-26,United States of America,Saint Paul
David Wroblewski,male,1959-01-01,United States of America,Wisconsin
Lucia Graves,female,"1943-07-21, 1943-01-01",United Kingdom,Devon
Oswald Chambers,male,1874-07-24,United Kingdom of Great Britain and Ireland,Aberdeen
Claire Huchet Bishop,female,1898-12-30,France,"Morbihan, Geneva"
Gary Frank,male,1969-01-01,United Kingdom,Bristol
Jenny McCarthy,female,1972-11-01,United States of America,Chicago
Don DeLillo,male,1936-11-20,United States of America,New York City
Barbara Ciardo,female,1983-10-30,Italy,Naples
Tim Curry,male,1946-04-19,United Kingdom,Grappenhall
Aristophanes,male,"-0448-00-00, -0444-00-00, -0450-00-00, -0446-01-01",Classical Athens,Athens
Jessie Burton,female,1982-08-17,United Kingdom,London
Grant Morrison,male,1960-01-31,Scotland,Glasgow
Ken Liu,male,1976-01-01,"s Republic of China, United States of America",Lanzhou
Mark Sanders,male,1979-07-10,South Africa,Durban
David Baldacci,male,1960-08-05,United States of America,Richmond
Elizabeth Gaskell,female,1810-09-29,United Kingdom of Great Britain and Ireland,"London, Chelsea, Cheyne Walk"
Stephen Colbert,male,1964-05-13,United States of America,
John Fante,male,1909-04-08,United States of America,Boulder
Andre Agassi,male,1970-04-29,United States of America,Las Vegas
Lisi Harrison,female,1970-07-29,Canada,Toronto
Ann M. Martin,female,1955-08-12,United States of America,Princeton
Brian Azzarello,male,1962-08-11,United States of America,Cleveland
Antoine de Saint-Exupéry,male,1900-06-29,France,Lyon
Viet Thanh Nguyen,male,1971-03-13,United States of America,Buôn Ma Thuột
Mineko Iwasaki,female,1949-11-02,Japan,Kyoto
Michael Chabon,male,1963-05-24,United States of America,
Pasqual Ferry,male,1961-03-24,Spain,Barcelona
Barron Storey,male,1940-04-06,United States of America,Dallas
Martha Grimes,female,1931-05-02,United States of America,Pittsburgh
Julie Garwood,female,1946-12-26,United States of America,Kansas City
James Dickey,male,1923-02-02,United States of America,Atlanta
Ntozake Shange,female,1948-10-18,United States of America,Trenton
