goodreads_book_id,title,authors,isbn,publication_year,language_code,rating
2767052,The Hunger Games,"Suzanne Collins",439023483,2008,eng,4.34
3,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",439554934,1997,eng,4.44
41865,Twilight,"Stephenie Meyer",316015849,2005,en-US,3.57
2657,To Kill a Mockingbird,"Harper Lee",61120081,1960,eng,4.25
4671,The Great Gatsby,"F. Scott Fitzgerald",743273567,1925,eng,3.89
11870085,The Fault in Our Stars,"John Green",525478817,2012,eng,4.26
5907,The Hobbit or There and Back Again,"J.R.R. Tolkien",618260307,1937,en-US,4.25
5107,The Catcher in the Rye,"J.D. Salinger",316769177,1951,eng,3.79
960,Angels & Demons ,"Dan Brown",1416524797,2000,en-CA,3.85
1885,Pride and Prejudice,"Jane Austen",679783261,1813,eng,4.24
77203,The Kite Runner ,"Khaled Hosseini",1594480001,2003,eng,4.26
13335037,Divergent,"Veronica Roth",62024035,2011,eng,4.24
5470,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",451524934,1949,eng,4.14
7613,Animal Farm: A Fairy Story,"George Orwell",452284244,1945,eng,3.87
48855,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",553296981,1947,eng,4.1
2429135,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",307269752,2005,eng,4.11
6148028,Catching Fire,"Suzanne Collins",439023491,2009,eng,4.3
5,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",043965548X,1999,eng,4.53
34, The Fellowship of the Ring,"J.R.R. Tolkien",618346252,1954,eng,4.34
7260188,Mockingjay,"Suzanne Collins",439023513,2010,eng,4.03
2,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",439358078,2003,eng,4.46
12232938,The Lovely Bones,"Alice Sebold",316166685,2002,eng,3.77
15881,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",439064864,1998,eng,4.37
6,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",439139600,2000,eng,4.53
136251,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",545010225,2007,eng,4.61
968,The Da Vinci Code,"Dan Brown",307277674,2003,eng,3.79
1,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",439785960,2005,eng,4.54
7624,Lord of the Flies ,"William Golding",140283331,1954,eng,3.64
18135,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",743477111,1595,eng,3.73
8442457,Gone Girl,"Gillian Flynn",297859382,2012,eng,4.03
4667024,The Help,"Kathryn Stockett",399155341,2009,eng,4.45
890,Of Mice and Men ,"John Steinbeck",142000671,1937,eng,3.84
930,Memoirs of a Geisha,"Arthur Golden",739326228,1997,eng,4.08
10818853,Fifty Shades of Grey,"E.L. James",1612130291,2011,eng,3.67
865,O Alquimista,"Paulo Coelho, Alan R. Clarke",61122416,1988,eng,3.82
3636,The Giver,"Lois Lowry",385732554,1993,eng,4.12
100915,The Lion, the Witch and the Wardrobe,"C.S. Lewis",60764899,1950,eng,4.19
14050,The Time Traveler's Wife,"Audrey Niffenegger",965818675,2003,eng,3.95
13496,A Game of Thrones,"George R.R. Martin",553588486,1996,eng,4.45
19501,Eat, pray, love: one woman's search for everything across Italy, India and Indonesia,"Elizabeth Gilbert",143038419,2006,eng,3.51
28187,The Lightning Thief,"Rick Riordan",786838655,2005,eng,4.23
1934,Little Women,"Louisa May Alcott",451529308,1868,en-US,4.04
10210,Jane Eyre,"Charlotte Brontë, Michael Mason",142437204,1847,eng,4.1
15931,The Notebook,"Nicholas Sparks",553816713,1996,eng,4.06
4214,Life of Pi,"Yann Martel",770430074,2001,,3.88
43641,Water for Elephants,"Sara Gruen",1565125606,2006,eng,4.07
19063,The Book Thief,"Markus Zusak",375831002,2005,eng,4.36
4381,Fahrenheit 451,"Ray Bradbury",307347974,1953,spa,3.97
49041,New Moon (Twilight, #2),"Stephenie Meyer",316160199,2006,eng,3.52
30119,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,"Shel Silverstein",60513039,1974,eng,4.29
256683,City of Bones,"Cassandra Clare",1416914285,2007,eng,4.12
428263,Eclipse,"Stephenie Meyer",316160202,2007,en-US,3.69
113436,Eragon,"Christopher Paolini",375826696,2002,en-US,3.86
11,The Hitchhiker's Guide to the Galaxy,"Douglas Adams",345391802,1979,en-US,4.2
5129,Brave New World,"Aldous Huxley",60929871,1932,eng,3.97
1162543,Breaking Dawn,"Stephenie Meyer",031606792X,2008,en-US,3.7
37435,The Secret Life of Bees,"Sue Monk Kidd",142001740,2001,en-US,4.01
2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",142437174,1884,eng,3.8
24178,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",64410935,1952,eng,4.15
1618,The Curious Incident of the Dog in the Night-Time,"Mark Haddon",1400032717,2003,eng,3.85
22557272,The Girl on the Train,"Paula Hawkins",1594633665,2015,eng,3.88
119322,Northern Lights,"Philip Pullman",679879242,1995,eng,3.94
6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",393978893,1847,eng,3.82
10917,My Sister's Keeper,"Jodi Picoult",743454537,2004,eng,4.06
4981,Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ,"Kurt Vonnegut Jr.",385333846,1969,eng,4.06
