"book_id","book_name","review_rating","review_text","date"
"2767052","The Hunger Games","3","Easy read and entertaining, but socially, there were so many flaws with the world-building. But the character was believable.","2017-01-13"
"2767052","The Hunger Games","3","** spoiler alert ** 
 OMG. Everyone loves Katniss and she has no idea why. I have no idea either.... 
 Okay, right off the bat I have to admit that the love triangle drove me absolutely crazy. Peeta or Gale? Who the fuck cares? BUT I can say that I thought there was care in how Suzanne Collins explained the Katniss love. I would have really rolled my eyes if Peeta had said "there's just something different about her." I thought it was much better to tell that his dad was in love with her mom and pointed Katniss out to Peeta when he was young. Also the dad showed Katniss special favor when she sold him her game. Okay, this makes it a more believable situation where she would catch Peeta's attention. The fact that her and Gale formed a bond naturally around hunting is passable too. But the whole best friend turned lover thing is tired and boring, but forgivable I guess. 
 NOW THAT'S OUT OF THE WAY... I do like the dystopian setting of this book. The way that the capitol keeps control of the country and the citizens through zero tolerance patriotism, and the yearly punishment of forcing children to fight to the death in an arena while the games are broadcast to the entire nation. Considering the premise I didn't think the book was quite as dark as I had expected. I am not sure what I expected, but I can see why this is still acceptable among YA readers. 
 I did take a little bit of issue with the arena ending. I read all three books before writing these reviews so I can see why they made the arena ending the way they did. BUT I also think that because they made such a big deal about people being drawn to the love story between Katniss and Peeta, that to take away their promise of two survivors and to force one of them to kill the other at the end of the games might have been enough to spark a rebellion anyway. 
 I had a love/hate relationship with Katniss as a character. I think in this book I mostly liked her. Though I thought she was immature at times I had to remind myself that she was only supposed to be 16 or 17 years old. I thought many elements of her character were overplayed stereotypes. The strong young girl who pays no attention to boys, and is temperamental and harsh but still manages to have two boys in love with her at the same time. Old and tired. Why can't she be those things MINUS the attention from boys. We don't need to teach our daughters that they are validated because someone loves them despite their being bitchy and off-putting. And she was kinda bitchy and off-putting. I suppose that isn't much different from a typical teenage girl in a lot of ways, but maybe if we rewarded our characters for kindness over aloofness we may influence our teens to be kinder and less aloof. Maybe not. But I digress... there were elements of her that were admirable. Her undying love and protection of her sister and her bond with Rue in the arena showed that she did have a softer, kinder side that she reserved for only a few. She had some character flaws and vulnerabilities which made her more realistic and likeable. I was drawn into her story and wanted to read on to the rest of the series to find out what happens with her.","2016-06-20"
"2767052","The Hunger Games","4","I had avoided this one for a while-- a blockbuster dystopian YA novel that appeared to be a rehashing of Stephen King's "The Running Man". But I recently came across Junot Diaz's reading list for his writing class and noticed "The Hunger Games" there. It sparked curiosity and an assumption that if the plot was cheesy, at least this story would be a good model for writing. Indeed, it is an excellent model. The story is well-paced, compelling, and full of content. At first I thought that the themes of trust and friendship would undergird all the action and page-turning suspense. Yet I was pleased to see the critical commentary on modern society that Collin's hit on, especially the disgusting effects of reality TV, namely the sick level of exploitation in entertainment and the lack of empathy from those who control and profit from the system. Also, I liked how, through Katniss, the author lays bare our sense of audience-- that the characters have no privacy and their lives are constantly broadcasted for public consumption. I think this is very relevant, especially for young readers, with the dominance of online social media. Nor does Collin's miss the opportunity to make subtle yet clear comments on classism and inequality between the Districts. The only criticism I have is that I did not really like the voice of the narrator. Katniss is not particularly endearing, but sharp and practical. The character even describes herself as coming across as "heartless." Perhaps-- as the traditional gender roles have been reversed-- this is part of her survival adaptation, and winning the games proves her tact correct. Overall, I was impressed with the layers of meaning in this YA novel and it's entertainment value, despite its already being a huge commercial success.","2016-07-31"
"2767052","The Hunger Games","5","When I was in the hospital they had a bookshelf full of books. Instead of trying a bunch of books to see if I liked them I picked up The Hunger Games because I knew I loved the movies. I will admit that I loved the movies so much I was afraid to read this book because I feared that the book would ruin the movies as movies usually ruin books for me. If that makes sense? I loved the book. They had the movie spot-on except a few little things but nothing that annoyed me so much that it ruined anything for me. More like it gave me more insight into the film.","2016-12-01"
"2767052","The Hunger Games","5","Listened to this one on audio book. Highly recommend doing that. The scholastic production really brought the characters to life and add a great audio quality. 
 Also, haven seen the movie first, I loved how this book brought so much more to the story. The movie did a good job of being faithful to the story but the book adds so much more depth and detail that with both combined adds a fully amazing picture. 
 Highly recommend if you are a fan of the movie to read, or in my case listen, to the book as well. You won't be disappointed.","2017-09-08"
"2767052","The Hunger Games","4","The Hunger Games, by Suzanne Collins 
 4.5 out of 5 stars 
 SPOILERS! But really I doubt you haven't read it yet! 
 So how can I review a book that's been read by everyone and made into movies love by everyone? LIKE THIS 
 This book takes place in a dystopian American society. The country now has a wealthy Capitol and twelve poorer districts that only exist to produce goods for the capital. This novel centers around Katniss, a girl from the coal mining district 12. She's very poor and has to provide for her family in order for them to survive. Also In this society every year the Capitol has a competition called The Hunger Games. In these games, teenagers from all twelve districts are picked from a "reaping" and forced to fight to the death in these games. This is because before this society was created, the districts tried to rebel against the capitol and reach independence. When they failed, the Hunger games were created as punishment. This year, Katniss' younger sister is chosen. Rather than watch her sister be killed, she volunteers to go to the games in her place. 
 Now here's what I liked. Katniss. I LOVE Katniss. She's strong, she's practical, and she breaks down every single trope of YA heroines that you can think of. The book is in her POV. Part of the fun of the book is getting inside her head to see how she strategizes and how she reacts to the cruelty of the games. I also liked how district life felt almost historical, like it took place in the past. Then we get to the Capitol and it feels like science fiction. Then when we get to the actual games it feels like a survival story. The fact that all the sub-genres are seamlessly woven together is what makes this book so fun to read. It was fast paced and had wonderful side characters as well. 
